pressure,in_situ_temp,practical_salinity,latitude,longitude,absolute_salinity,conservative_temp,density,sound_speed,temp_gradient,sound_speed_gradient,is_thermocline,is_sound_channel
194.8,12.912,35.058,-4.006523333333333,76.29734,35.22541825131195,12.873084935689487,1027.3296543637705,1503.1405513482755,-0.03579519686662541,-0.10525872265944258,False,False
210.2,12.544,35.025,-4.006523333333333,76.29734,35.19230916973782,12.504280234355662,1027.4469968485216,1502.1200440252414,-0.021912430426716256,-0.059191183141216186,False,False
229.8,12.164,35.01,-4.006523333333333,76.29734,35.17726951304634,12.122616572955335,1027.5982196907903,1501.1363990515515,-0.02022560773152482,-0.053445249456153476,False,False
250.0,11.738,34.993,-4.006523333333333,76.29734,35.16022628281856,11.695118475685309,1027.7582788545487,1499.988952094841,-0.016662341234123412,-0.04131803453716287,False,False
269.8,11.494,34.994,-4.006523333333333,76.29734,35.161280401768714,11.449035348156883,1027.8944363170438,1499.4714113173916,-0.010438083808380794,-0.02006984046785476,False,False
290.0,11.322,34.983,-4.006523333333333,76.29734,35.150282583789725,11.27505447584649,1028.009011656927,1499.1910623812869,-0.008758632579675851,-0.014831455412121386,False,False
310.0,11.142,34.971,-4.006523333333333,76.29734,35.1382898985586,11.093185660895392,1028.123223555865,1498.8755660411846,-0.008360438556418437,-0.013731755664146306,False,False
329.8,10.989,34.955,-4.006523333333333,76.29734,35.1223048454418,10.93839816328167,1028.2281826514177,1498.64372536744,-0.007694728680588847,-0.01125529947118764,False,False
349.9,10.835,34.952,-4.006523333333333,76.29734,35.11937999046035,10.782351377313963,1028.3446056777564,1498.4267539504065,-0.010050488303738059,-0.019809258897431903,False,False
370.2,10.582,34.932,-4.006523333333333,76.29734,35.09942860254436,10.527949458627504,1028.4668358110648,1497.8398075039458,-0.01211103020673926,-0.027696839774336013,False,False
390.0,10.349,34.916,-4.006523333333333,76.29734,35.083503487657794,10.293535951710078,1028.5858153511715,1497.3149088821317,-0.010601706196450122,-0.022366916358315336,False,False
409.7,10.163,34.903,-4.006523333333333,76.29734,35.070590639657446,10.105985216657304,1028.6978086496758,1496.9554877772653,-0.010190113030469655,-0.021079220890818817,False,False
429.7,9.944,34.888,-4.006523333333333,76.29734,35.05567248937532,9.885597262142928,1028.815241729381,1496.4763501664447,-0.009848757522811113,-0.01983377903552963,False,False
450.1,9.766,34.881,-4.006523333333333,76.29734,35.04879517244428,9.705922734361732,1028.9330942124925,1496.1575345702468,-0.008757150078484571,-0.015791424894551653,False,False
469.9,9.592,34.875,-4.006523333333333,76.29734,35.04291745963725,9.530335437040888,1029.0481069467996,1495.8417278567915,-0.008505700570056979,-0.014896864785669095,False,False
490.1,9.426,34.872,-4.006523333333333,76.29734,35.0400593933819,9.362661902518424,1029.165654162413,1495.562510863044,-0.008530374901335125,-0.015104870752836064,False,False
512.3,9.229,34.866,-4.006523333333333,76.29734,35.034212514525514,9.16398630700197,1029.2950478725368,1495.1958984373148,-0.008341926917876274,-0.014521824943464878,False,False
537.5,9.034,34.864,-4.006523333333333,76.29734,35.032436419681794,8.966947555220857,1029.4404739695958,1494.886937518674,-0.007158771956946641,-0.010307450422292419,False,False
562.4,8.87,34.857,-4.006523333333333,76.29734,35.02563605502095,8.800958884674996,1029.5751348550411,1494.6783304037176,-0.006373599890544174,-0.007512900147215618,False,False
587.4,8.716,34.855,-4.006523333333333,76.29734,35.02386183046346,8.644877369313809,1029.7122853468427,1494.5122171278024,-0.0055032618731423455,-0.0038210603508552765,False,False
612.6,8.594,34.87,-4.006523333333333,76.29734,35.039178165547646,8.520370805374295,1029.8580682288818,1494.4876470799322,-0.0064293416919331825,-0.007465864557524071,False,False
637.9,8.391,34.864,-4.006523333333333,76.29734,35.03341624181748,8.315676267798077,1030.0014127049835,1494.133890219377,-0.007488685593946165,-0.012018770671133439,False,False
662.9,8.217,34.859,-4.006523333333333,76.29734,35.02865919982287,8.139912882961674,1030.139116309018,1493.8819316723564,-0.008583648904234159,-0.016613224328086318,False,False
687.8,7.963,34.841,-4.006523333333333,76.29734,35.01083333084911,7.884882268500611,1030.2791449902124,1493.306194687942,-0.009441925457340405,-0.020001560260379136,False,False
