pressure,in_situ_temp,practical_salinity,latitude,longitude,absolute_salinity,conservative_temp,density,sound_speed
2.5,28.668,33.911,-4.006523333333333,76.29734,34.07118955814313,28.720591574261167,1021.3682418525068,1541.4327999204838
3.5,28.673,33.914,-4.006523333333333,76.29734,34.07420729012344,28.725244260209475,1021.3731285080065,1541.4633929037468
4.5,28.672,33.915,-4.006523333333333,76.29734,34.0752128456032,28.723959248842643,1021.3784982042976,1541.4789588094231
5.6,28.673,33.914,-4.006523333333333,76.29734,34.07421019540153,28.72474017321241,1021.3821347024738,1541.4984057000174
6.6,28.674,33.914,-4.006523333333333,76.29734,34.07421157886734,28.72550309948642,1021.3860923455862,1541.51723177376
7.6,28.674,33.914,-4.006523333333333,76.29734,34.07421296233316,28.72526304273205,1021.3903807788083,1541.5339042720022
8.5,28.674,33.914,-4.006523333333333,76.29734,34.07421420745253,28.725046988600827,1021.3942402943303,1541.5489094273412
9.5,28.674,33.914,-4.006523333333333,76.29734,34.07421559091834,28.72480692511463,1021.398528561363,1541.5655817152265
10.5,28.673,33.915,-4.006523333333333,76.29734,34.07522140663695,28.723521908793266,1021.4038979419995,1541.5811471388945
11.4,28.674,33.915,-4.006523333333333,76.29734,34.075223119781754,28.724308773038572,1021.4074266544986,1541.5983060333926
12.5,28.675,33.915,-4.006523333333333,76.29734,34.07522521362701,28.72504760224338,1021.4118129467873,1541.6187993169763
13.5,28.67,33.923,-4.006523333333333,76.29734,34.08326432931735,28.719454876544823,1021.4237600446518,1541.633075552542
14.5,28.67,33.924,-4.006523333333333,76.29734,34.08427040575196,28.719172805805144,1021.4287983248347,1541.6507942244393
15.5,28.668,33.927,-4.006523333333333,76.29734,34.08728482739216,28.716799035897342,1021.4359991599332,1541.6662940254005
16.4,28.645,33.94,-4.006523333333333,76.29734,34.100348450346075,28.6929591207427,1021.4572288130829,1541.6453320355622
17.6,28.616,33.956,-4.006523333333333,76.29734,34.11642899701745,28.66289949809187,1021.4839807667247,1541.6195323707407
18.6,28.589,33.971,-4.006523333333333,76.29734,34.131501159063184,28.634940933418022,1021.5084551522527,1541.5936251681437
19.5,28.538,34.0,-4.006523333333333,76.29734,34.16063921628001,28.582339379550188,1021.5509344087397,1541.5287848283238
